ID,TEMPORADA,AMBITO,CODREG,CODPROV,CODCOM,NUMERO,NOMBRE_INC,UTM_ESTE,UTM_NORTE,INICIO_C,COMBUSTI_I,CAUSA_GENE,CAUSA_ESPE,PINO_0010,PINO11_17,PINO_18MAS,EUCALIPTO,OTRAS_PLAN,TOTAL_PLAN,ARBOLADO,MATORRAL,PASTIZAL,TOTAL_VEG,AGRICOLA,DESECHOS,TOTAL_OTRA,SUP_T_A,geometry
924.0,2015,Conaf,06,062,06201,6.0,La Comilla,774536.0,6180903.0,Otros,Desechos,Faenas Forestales,1.1.17. Uso de fuego en área de campamento forestal,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.1,POINT (223473.80339999963 6180843.9569)
1154.0,2015,Empresa,07,071,07104,6.0,Sierra Alegre,742134.0,6057250.0,,,Incendios Intencionales,2.1.11. Otros intencionales no clasificados,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,POINT (198559.57510000002 6055440.7011)
1155.0,2015,Empresa,07,072,07201,15.0,San Esteban,734019.0,6027583.0,,Desechos,Faenas Forestales,1.1.2. Quema ilegal de desechos de cosecha forestal (quema para reforestación),0.45,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,POINT (192271.3677000003 6025319.5441)
1156.0,2015,Empresa,07,071,07104,18.0,Pichilemu - Buena Vista (N),742306.0,6058017.0,Camino secundario,Plantación pino,Incendios Intencionales,2.1.11. Otros intencionales no clasificados,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,POINT (198684.55319999997 6056217.0665)
1157.0,2015,Empresa,07,071,07102,28.0,Dollimo,745003.0,6095970.0,,,Faenas Forestales,1.1.21. Corte de cable eléctrico producto de faena forestal,0.0,0.0,0.0,0.01,0.0,0.01,0.08,0.01,0.0,0.09,0.0,0.0,0.0,0.1,POINT (199073.20440000016 6094278.4662)
1158.0,2015,Empresa,07,071,07102,50.0,San Ramon - N,739856.0,6077518.0,Casa o refugio,Plantación eucaliptus,Tránsito De Personas  Vehículos O Aeronaves,1.7.1. Uso de fuego por transeúntes,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,POINT (195051.54870000016 6075540.9982)
1159.0,2015,Empresa,07,071,07102,79.0,Viñales,735114.0,6082510.0,,,Incendios Intencionales,2.1.11. Otros intencionales no clasificados,0.0,0.0,0.04,0.03,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,POINT (190013.11539999954 6080238.3793)
1160.0,2015,Empresa,07,071,07102,135.0,Ar-03-20 Capellania - Affc,756251.0,6107223.0,,,Quema De Desechos,1.8.1. Quema de basuras  desechos vegetales u otros no clasificados (distintos de vertederos o basurales autorizados),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.03,POINT (209624.6453999998 6106193.5016)
1161.0,2015,Empresa,07,071,07102,193.0,Huillin Norte,755949.0,6074353.0,,,Accidentes Eléctricos,1.9.3. Corte de cable por caída de tendido eléctrico o postación,0.0,0.0,22.0,0.0,0.0,22.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,25.0,POINT (211312.34109999985 6073358.0697)
1162.0,2015,Empresa,07,072,07201,196.0,El Molino Lb. - Tabolguen,732487.0,6021807.0,,,Incendios De Causa Desconocida,4.1.2. No determinada (la causa no es investigada),0.0,0.7,0.0,0.0,0.0,0.7,2.6,0.0,0.0,2.6,0.0,0.0,0.0,3.3,POINT (191096.29930000007 6019457.4457)
1163.0,2015,Empresa,07,071,07104,198.0,Buena Vista - N,744127.0,6058306.0,,,Incendios Intencionales,2.1.11. Otros intencionales no clasificados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.2,POINT (200485.2441999996 6056616.6655)
1165.0,2015,Empresa,07,071,07102,221.0,Santa Marta (N)  - Rayenco,747270.0,6070088.0,Camino secundario,Plantación pino,Faenas Forestales,1.1.2. Quema ilegal de desechos de cosecha forestal (quema para reforestación),0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,POINT (202906.16449999996 6068572.3338)
1166.0,2015,Empresa,07,072,07201,222.0,Lote1 B Tres Robles Chaimavida-C / San Agustin,759167.0,6019168.0,,,Faenas Forestales,1.1.22. Otros incendios por faenas forestales no clasificadas,0.0,0.0,6.7,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,POINT (217896.9194 6018462.519)
1167.0,2015,Empresa,07,071,07102,284.0,San Pedro Y Las Cañas (2017),728670.0,6071483.0,,,Incendios Intencionales,2.1.11. Otros intencionales no clasificados,0.2,0.0,0.0,0.3,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,POINT (184247.19969999976 6068834.3676)
1169.0,2015,Empresa,07,071,07103,350.0,La Trinchera - Conca Viejo,754520.0,6109616.0,,,Tránsito De Personas  Vehículos O Aeronaves,1.7.1. Uso de fuego por transeúntes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.15,POINT (207752.11840000004 6108478.3814)
1171.0,2015,Empresa,07,071,07103,383.0,Los Cardenales 2,770634.0,6117170.0,,,Incendios Intencionales,2.1.11. Otros intencionales no clasificados,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,POINT (223384.46380000003 6116989.9616)
1172.0,2015,Empresa,07,071,07104,384.0,Buenavista Espinoza,745265.0,5945937.0,,,Incendios Intencionales,2.1.11. Otros intencionales no clasificados,0.0,0.0,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,POINT (208555.96389999986 5944494.0092)
1173.0,2015,Empresa,07,072,07201,398.0,San Esteban,735976.0,6027241.0,Camino secundario,Pastizal,Incendios Intencionales,2.1.11. Otros intencionales no clasificados,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,POINT (194246.6107999999 6025098.1643)
1174.0,2015,Empresa,07,074,07406,432.0,Purapel,764666.0,6060826.0,Camino principal,,Incendios De Causa Desconocida,4.1.1. Desconocida (se investiga pero no es posible establecer la causa origen),0.58,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,POINT (220837.3309000004 6060384.1564)
1179.0,2015,Empresa,07,071,07104,555.0,El Trebol-Cbb,748772.0,6052317.0,,,Tránsito De Personas  Vehículos O Aeronaves,1.7.1. Uso de fuego por transeúntes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,POINT (205488.51939999964 6050920.1498)
1180.0,2015,Empresa,07,071,07103,556.0,Ab-15 El Carmen,767836.0,6097172.0,,,Incendios Intencionales,2.1.11. Otros intencionales no clasificados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.7,0.0,0.0,0.0,0.7,POINT (221796.9143000003 6096858.5585)
1181.0,2015,Empresa,07,071,07102,561.0,Montanilla Avila,762389.0,6090021.0,,,Tránsito De Personas  Vehículos O Aeronaves,1.7.1. Uso de fuego por transeúntes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.03,POINT (216791.7220999999 6089390.5193)
1182.0,2015,Empresa,07,071,07104,567.0,Cuyuname,755235.0,6047662.0,,,Tránsito De Personas  Vehículos O Aeronaves,1.7.1. Uso de fuego por transeúntes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,3.8,0.0,0.0,0.0,3.8,POINT (212225.42239999957 6046667.2955)
